,0
H_H_0,12.496197787932791
H_H_1,13.072731498542174
H_H_2,8.255505986676857
H_H_3,28.875777059517556
H_C_0,10.205243922814942
H_C_1,11.1698486282153
H_C_2,11.005255256555868
H_C_3,26.871974949459045
H_N_0,3.7590118259763377
H_N_2,1.3443468837733017
H_N_3,5.307225674314128
H_O_0,5.038797251837335
H_O_1,5.20194447038688
H_O_2,1.8579004371196686
H_S_1,0.315994134223236
H_S_2,0.38463910733116596
C_H_0,9.660124948171472
C_H_1,9.878297624558693
C_H_2,6.302503097964877
C_H_3,23.29055298292454
C_C_0,7.808384501662814
C_C_1,8.557633108785527
C_C_2,8.423431301472993
C_C_3,21.90356511548305
C_N_0,2.9201055482825216
C_N_2,1.0461646558355104
C_N_3,4.2878140735258325
C_O_0,3.553659004801803
C_O_1,3.823425268639905
C_O_2,1.405612775147543
C_S_1,0.23332646709161173
C_S_2,0.32151601523261764
N_H_0,1.9412573275987381
N_H_1,1.9464457193933438
N_H_2,1.2125869931433308
N_H_3,4.3723816889814
N_C_0,1.6414034017064543
N_C_1,1.6935337605933554
N_C_2,1.6322344427070232
N_C_3,4.180592532307103
N_N_0,0.583957088348804
N_N_2,0.20670907320609852
N_O_0,0.8066527454288439
N_O_2,0.28332954123981563
N_S_2,0.05972991724669451
O_H_0,3.2253787344444613
O_H_1,3.0421213726999383
O_H_2,1.559456327260109
O_H_3,5.34490190155354
O_C_0,2.1842752943748716
O_C_1,2.3871484884012832
O_C_2,1.9240385402062574
O_C_3,4.736418676500837
O_N_0,0.9472655919026454
O_N_2,0.2448610475697282
O_N_3,1.0355849232624017
O_O_0,0.9574795004075223
O_O_1,1.0608151552061484
O_O_2,0.3323544770365623
S_H_0,0.15612228198746847
S_H_1,0.18514388873079546
S_H_2,0.0930551657260194
S_H_3,0.40076530971797314
S_C_0,0.12152060253220816
S_C_1,0.16459012903323914
S_C_2,0.12713937432533054
S_C_3,0.37198477976200117
S_O_0,0.05354298515518034
P_H_0,0.1773978492957439
P_H_1,0.13235994520638494
P_H_2,0.04025469783659763
P_H_3,0.18407588672548394
P_C_0,0.10195378985421516
P_C_1,0.09257078171112486
P_C_2,0.04412752356743766
P_C_3,0.1486714540363302
P_O_0,0.03769664855032551
F_H_0,0.12497146709776952
F_H_1,0.13710304162351666
F_H_2,0.08473676836321038
F_H_3,0.36103738112822675
F_C_0,0.11299054232422487
F_C_1,0.13571347898280306
F_C_2,0.11546581491591675
F_C_3,0.3855937367982956
Cl_H_0,0.06887272409836648
Cl_H_1,0.07255352660303656
Cl_H_2,0.05436011552303395
Cl_H_3,0.22399651654002536
Cl_C_0,0.06281361677593662
Cl_C_1,0.06930836043623488
Cl_C_2,0.07490308136192057
Cl_C_3,0.22594936935826296
Br_H_0,0.01736295919124562
Br_H_1,0.015016292780729038
Br_H_3,0.046480744594995196
Br_C_0,0.013343029199397416
Br_C_1,0.013088811084401223
Br_C_2,0.011798549019710789
Br_C_3,0.042666239344123
I_H_0,0.007009641940582277
I_H_1,0.006250913497527326
I_H_3,0.018881004856386555
I_C_3,0.015187069632348706
